City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
79,Lake City,30.1897,-82.6393,92.59,62,75,12.66,US,broken clouds
80,Chik,54.9928,82.4311,64.15,88,0,8.95,RU,light rain
81,Ilulissat,69.2167,-51.1,48.22,71,75,8.05,GL,broken clouds
82,Tasiilaq,65.6145,-37.6368,42.96,77,98,2.91,GL,overcast clouds
83,Baghdad,33.3406,44.4009,102.11,18,0,8.05,IQ,clear sky
84,Chivay,-15.6383,-71.6011,60.42,16,30,4.38,PE,scattered clouds
85,Ostrovnoy,68.0531,39.5131,52.77,86,77,5.28,RU,broken clouds
86,Qaanaaq,77.484,-69.3632,45.5,70,96,4.83,GL,overcast clouds
87,Ponta Do Sol,32.6667,-17.1,77.72,76,2,5.1,PT,clear sky
88,Akhmeta,42.0311,45.2075,70.32,92,29,8.25,GE,scattered clouds
89,Cidreira,-30.1811,-50.2056,70.36,77,100,4.41,BR,overcast clouds
90,Port-Gentil,-0.7193,8.7815,75.16,88,40,9.22,GA,scattered clouds
91,Saint-Philippe,-21.3585,55.7679,64.22,76,55,14.72,RE,light rain
92,Berlevag,70.8578,29.0864,60.8,93,100,7.2,NO,light rain
93,Mahebourg,-20.4081,57.7,70.09,78,75,13.8,MU,broken clouds
94,Havoysund,70.9963,24.6622,57.43,99,100,7.78,NO,light rain
95,Pangody,65.85,74.4859,43.34,87,100,8.63,RU,overcast clouds
96,Caldas Novas,-17.7417,-48.625,84.99,24,42,8.57,BR,scattered clouds
97,Codrington,-38.2667,141.9667,47.26,83,11,13.06,AU,few clouds
98,Hualmay,-11.0964,-77.6139,66.45,70,51,10.25,PE,broken clouds
99,Eirunepe,-6.6603,-69.8736,94.1,35,33,1.32,BR,scattered clouds
100,Talnakh,69.4865,88.3972,51.21,87,33,5.93,RU,light rain
101,Peniche,39.3558,-9.3811,75.29,83,76,16.15,PT,broken clouds
102,Dahod,22.8333,74.2667,77.79,87,98,12.88,IN,overcast clouds
103,Richards Bay,-28.783,32.0377,65.01,91,19,5.48,ZA,few clouds
104,Karoi,-16.8099,29.6925,61.32,58,90,6.08,ZW,overcast clouds
105,Adamas,36.7333,24.4333,75.88,70,0,14.25,GR,clear sky
106,Ribeira Grande,38.5167,-28.7,77.4,78,20,10.36,PT,few clouds
107,Saint-Pierre,-21.3393,55.4781,64.29,77,0,6.91,RE,clear sky
108,Plettenberg Bay,-34.0527,23.3716,54.75,80,0,3.11,ZA,clear sky
109,Henties Bay,-22.116,14.2845,58.23,77,1,9.73,NA,clear sky
110,Moussoro,13.6408,16.4901,88.84,51,98,1.92,TD,overcast clouds
111,Blagoyevo,63.3667,47.9167,67.5,61,80,5.79,RU,broken clouds
112,Pangnirtung,66.1451,-65.7125,44.6,93,100,6.91,CA,light rain
113,Tsiroanomandidy,-18.7667,46.0333,60.96,60,0,8.16,MG,clear sky
