City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
456,Thompson,CA,60.96,broken clouds,55.7435,-97.8558,Burntwood Hotel
467,Bystryy Istok,RU,63.54,overcast clouds,52.371,84.3873,Bumbarash
468,Vallenar,CL,64.17,few clouds,-28.5708,-70.7581,Humacao Bed & Breakfast
471,Mbandaka,CD,74.82,broken clouds,0.0487,18.2603,Guest House Epervier
480,Ruy Barbosa,BR,74.66,broken clouds,-12.2839,-40.4939,Flats em Ruy Barbosa - BA
488,Port-Cartier,CA,71.82,overcast clouds,50.0334,-66.8654,Le Q'Artier
491,Marawi,PH,68.52,overcast clouds,7.9986,124.2928,Derogongan Residence
494,Benguela,AO,68.0,broken clouds,-12.5763,13.4055,Hotel Praia Morena
495,Namwala,ZM,64.67,scattered clouds,-15.7504,26.4384,Corner Point Lodge
497,Kwakoa,TZ,70.2,overcast clouds,-3.7667,37.7167,MJI Mwema Lodge
500,Borovoy,RU,61.88,thunderstorm,55.4333,86.0833,Tsimus
506,Derzhavinsk,KZ,67.15,clear sky,51.1,66.3167,Ooo.khim Baza
510,Ust-Tsilma,RU,66.99,broken clouds,65.441,52.1498,U Praskov'i
513,Kindu,CD,72.5,light rain,-2.95,25.95,Résidence Okanda
514,Sept-Iles,CA,72.12,broken clouds,50.2001,-66.3821,Comfort Inn
515,Rio Grande,BR,68.11,overcast clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
517,Bayan,CN,65.77,clear sky,46.0833,127.4,Wanhao Inn
520,Serafimovich,RU,60.62,scattered clouds,49.5786,42.736,Donskiye Prostory
526,Kalabo,ZM,71.76,scattered clouds,-14.97,22.6814,Sikakubete Guest House Kalabo Town Council
529,Soyo,AO,70.11,scattered clouds,-6.1349,12.3689,Hospedaria ndozi'ame
532,Idanre,NG,71.26,light rain,7.1127,5.1159,GOSHEN TRUST HOTEL AND SUITE
539,Acari,PE,71.2,broken clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
545,Kartaly,RU,65.39,scattered clouds,53.0522,60.6467,Gostinitsa Lyuks
552,Bentiu,SS,71.4,overcast clouds,9.2333,29.8333,Mandela hôtel
566,Marystown,CA,67.8,scattered clouds,47.1666,-55.1483,Marystown Hotel & Convention Centre
567,Kohtla-Nomme,EE,66.18,clear sky,59.3517,27.175,RMK Aidu-Nõmme lõkkekoht
569,Senanga,ZM,70.18,overcast clouds,-16.1167,23.2667,Zango lodge
573,Ikom,NG,74.07,light rain,5.9667,8.7063,Ebenezer Beim excellence hotel
574,Matagami,CA,68.11,overcast clouds,49.7502,-77.6328,Motel Le Caribou
580,Isakly,RU,63.09,overcast clouds,54.1333,51.5333,"Gostinitsa ""Tsentral'naya"" Ooo ""Vektor-S"""
584,Jawhar,SO,74.66,scattered clouds,2.7809,45.5005,Hotel Shabelle
600,Chibuto,MZ,65.03,clear sky,-24.6867,33.5306,Residência Masculina da Escola Superior de Negocios e Empreendedorismo de Chibuto
603,Kobelyaky,UA,68.29,broken clouds,49.1489,34.1965,Апарт готель Грація апарт отель Грация hotel Gracia
604,Carrick-On-Suir,IE,65.44,overcast clouds,52.3492,-7.4131,The Carraig Hotel
605,Chimbote,PE,66.76,overcast clouds,-9.0853,-78.5783,Hotel Briliá
610,Brits,ZA,60.12,broken clouds,-25.6347,27.7802,By Die Vlei
611,Vuktyl,RU,61.43,overcast clouds,63.8567,57.3094,Mini-Hotel Lokomotiv
613,Naron,ES,73.56,broken clouds,43.5167,-8.1528,Marcial
617,Luanda,AO,68.41,broken clouds,-8.8368,13.2343,EPIC SANA Luanda
621,Tapes,BR,65.5,overcast clouds,-30.6733,-51.3958,Cabanas Camping Union
625,Odweyne,SO,73.13,broken clouds,9.4092,45.064,Eng Hiirey House
626,Sangolqui,EC,70.29,light rain,-0.3341,-78.4522,Mansion Samzara Hosteleria
629,Hatfield,GB,72.32,broken clouds,51.7634,-0.2242,Mercure Hatfield Oak Hotel
633,Ginda,IN,65.61,overcast clouds,30.6945,78.4932,Sunil Bisht
637,Berdsk,RU,64.0,light rain,54.7551,83.0967,Mini-Hotel Kalinina 9A
638,Jumla,NP,64.18,overcast clouds,29.2747,82.1838,Royal Garden Hotel
640,Quelimane,MZ,73.35,few clouds,-17.8786,36.8883,Hotel Flamingo
641,Sinazongwe,ZM,70.05,clear sky,-17.2614,27.4618,Lakeview Lodge
643,Nadvoitsy,RU,70.61,broken clouds,63.8667,34.3167,Sever Nadvoitsy
645,Komatipoort,ZA,64.06,moderate rain,-25.4332,31.9548,Kruger View Backpackers
649,A Coruna,ES,73.45,broken clouds,43.3713,-8.396,Hotel Zenit Coruña
655,Illapel,CL,71.31,clear sky,-31.6308,-71.1653,Hotel Londres
656,Quilmana,PE,68.47,scattered clouds,-12.95,-76.3833,Hospedaje SAN ANTONIO
659,Abha,SA,69.62,scattered clouds,18.2164,42.5053,Abha Hotel
669,San Juan,AR,65.32,few clouds,-31.5375,-68.5364,Hotel Provincial
671,Francistown,BW,61.32,broken clouds,-21.17,27.5079,Budget House
674,Mpika,ZM,62.02,scattered clouds,-11.8343,31.4529,Melodies Lodge
676,Chornobayivka,UA,74.07,scattered clouds,46.6941,32.5537,Motel - Restaurant Kurin
677,Channel-Port Aux Basques,CA,64.22,few clouds,47.5702,-59.1367,St. Christopher's Hotel
681,Inyonga,TZ,70.09,overcast clouds,-6.7167,32.0667,Eden Rock Lodge
683,Lieksa,FI,70.54,broken clouds,63.3167,30.0167,Kaatrahovi
691,Buenos Aires,AR,66.97,clear sky,-34.6132,-58.3772,Hotel NH Buenos Aires City
692,Grindsted,DK,63.91,broken clouds,55.754,8.9123,Huset B&B
697,Scarborough,GB,63.97,overcast clouds,54.2797,-0.4044,The Grand Hotel Scarborough
699,Bukavu,CD,64.56,overcast clouds,-2.5083,28.8608,Horizon Hotel
700,Tal,PK,69.1,overcast clouds,35.4791,72.2439,Guest Rooms Transport Parking
701,Sechura,PE,72.55,scattered clouds,-5.5569,-80.8222,Hospedaje Costa Bella
705,Mayumba,GA,71.58,scattered clouds,-3.432,10.6554,LIKWALE LODGE
706,Jurilovca,RO,73.49,clear sky,44.7667,28.8667,Suvenir din Dobrogea
709,Birkeland,NO,71.87,clear sky,58.3309,8.2323,Hawai bobilcamping
720,Chongwe,ZM,64.51,broken clouds,-15.3292,28.682,Grakas Lodge
721,Winchester,GB,74.64,scattered clouds,51.0651,-1.3187,Lainston House
730,Charlestown,AU,61.74,overcast clouds,-32.95,151.6667,Panorama Motor Inn Hotel
