City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
232,Xapuri,-10.6517,-68.5044,91.11,45,87,3.49,BR,2022-07-17 17:36:43
233,Chichawatni,30.5333,72.7,86.11,65,17,4.56,PK,2022-07-17 17:36:44
234,Oriximina,-1.7656,-55.8661,90.88,46,73,7.0,BR,2022-07-17 17:36:45
235,Sarretudvari,47.2333,21.2,75.42,26,51,13.35,HU,2022-07-17 17:36:45
236,Paita,-5.0892,-81.1144,70.11,69,1,14.52,PE,2022-07-17 17:36:46
237,Mwanza,-2.5167,32.9,73.81,58,46,5.23,TZ,2022-07-17 17:36:47
238,Ambanja,-13.6833,48.45,70.92,84,72,1.88,MG,2022-07-17 17:36:48
239,Oussouye,12.485,-16.5469,89.78,67,72,11.18,SN,2022-07-17 17:36:49
240,Saint-Pierre,-21.3393,55.4781,69.91,69,40,19.57,RE,2022-07-17 17:36:50
241,San Jose De Guanipa,8.8872,-64.1651,90.3,47,28,8.75,VE,2022-07-17 17:36:51
242,Senneterre,48.3835,-77.2328,81.41,38,78,3.53,CA,2022-07-17 17:36:52
243,Trincomalee,8.5711,81.2335,81.3,75,100,14.38,LK,2022-07-17 17:36:53
244,Saint-Joseph,-21.3667,55.6167,68.38,76,64,17.13,RE,2022-07-17 17:36:54
245,Senanga,-16.1167,23.2667,59.13,35,0,6.08,ZM,2022-07-17 17:36:55
246,Dingle,10.9995,122.6711,75.09,94,100,1.95,PH,2022-07-17 17:36:56
247,Sehithwa,-20.4667,22.7167,59.38,39,0,7.92,BW,2022-07-17 17:36:57
248,Talara,-4.5772,-81.2719,72.36,64,0,16.11,PE,2022-07-17 17:36:58
249,Port Hope,43.9408,-82.7127,81.21,23,100,6.91,US,2022-07-17 17:36:58
250,Kidal,18.4411,1.4078,95.99,29,80,10.36,ML,2022-07-17 17:36:59
251,Purkersdorf,48.1951,16.1626,78.76,40,40,4.61,AT,2022-07-17 17:37:00
252,Vila Franca Do Campo,37.7167,-25.4333,72.01,71,47,5.91,PT,2022-07-17 17:37:01
253,Komsomolets,53.7453,62.0708,67.01,78,72,8.08,KZ,2022-07-17 17:37:01
254,Trinidad,-14.8333,-64.9,78.73,48,43,7.23,BO,2022-07-17 17:33:22
